id,s41,s42,s43,trust_pomp,trust_bin,trust_c5,trust_c7,cohort,female,edu_years,hukou,party,region,subj_class,econ_subj,fairness,social_trust,si_med,si_pen,si_any,empstat,statsec,contract,lninc,internet,know_lawyer,know_police,voted,year,wt
1268.0,4,7,19,,,,,5.0,0.0,19.0,2.0,1.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,12.611540794372559,5.0,,,0.0,2017.0,0.4872110188007355
1269.0,4,7,20,,,,,4.0,1.0,16.0,2.0,0.0,1.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,12.611540794372559,5.0,,,0.0,2017.0,1.3520634174346924
1270.0,4,7,14,0.4000000059604645,0.0,0.0,0.0,3.0,0.0,16.0,2.0,0.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,,,11.512935638427734,4.0,0.0,0.0,0.0,2017.0,0.38432714343070984
1272.0,4,7,18,0.5,0.0,1.0,0.0,6.0,0.0,12.0,1.0,0.0,1.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,11.082158088684082,5.0,0.0,1.0,0.0,2017.0,0.7242292165756226
1273.0,4,7,18,,,,,4.0,1.0,15.0,2.0,0.0,1.0,8.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,10.596659660339355,5.0,,,1.0,2017.0,1.3520634174346924
1274.0,4,7,19,,,,,1.0,1.0,12.0,2.0,0.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,,,10.491301536560059,5.0,,,1.0,2017.0,0.4221976697444916
1275.0,4,7,135,,,,,2.0,0.0,12.0,2.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,,,10.668350219726562,1.0,,,1.0,2017.0,0.3827948272228241
1276.0,4,7,16,,,,,6.0,1.0,16.0,1.0,0.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,0.0,0.0,10.596659660339355,5.0,,,0.0,2017.0,1.3349579572677612
1277.0,4,7,14,,,,,5.0,1.0,9.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,,,9.90353775024414,4.0,,,1.0,2017.0,1.1618441343307495
1278.0,4,7,18,,,,,5.0,0.0,12.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,11.156265258789062,5.0,,,0.0,2017.0,0.7242292165756226
1279.0,4,7,15,,,,,1.0,1.0,0.0,2.0,0.0,1.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,,,10.491301536560059,1.0,,,1.0,2017.0,0.4221976697444916
1280.0,4,7,16,,,,,2.0,0.0,12.0,2.0,0.0,1.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,,,9.210440635681152,5.0,,,0.0,2017.0,1.7393369674682617
1281.0,4,7,19,,,,,6.0,1.0,16.0,2.0,0.0,1.0,3.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,9.90353775024414,5.0,,,0.0,2017.0,2.002436637878418
1282.0,4,7,135,,,,,3.0,1.0,9.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,4.0,,,9.210440635681152,4.0,,,0.0,2017.0,0.5392792820930481
1283.0,4,7,15,0.800000011920929,1.0,1.0,1.0,2.0,1.0,16.0,2.0,1.0,1.0,6.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,,,10.896758079528809,4.0,1.0,1.0,1.0,2017.0,0.7859489321708679
1284.0,4,7,18,,,,,2.0,1.0,9.0,2.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,,,10.491301536560059,5.0,,,1.0,2017.0,0.4221976697444916
1286.0,4,7,16,,,,,1.0,0.0,12.0,2.0,0.0,1.0,5.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,,,10.71444034576416,2.0,,,0.0,2017.0,0.3827948272228241
1287.0,4,7,19,,,,,6.0,1.0,16.0,1.0,0.0,1.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,4.0,,,9.04793930053711,5.0,,,0.0,2017.0,2.002436637878418
1288.0,4,7,14,0.800000011920929,1.0,1.0,1.0,1.0,0.0,15.0,2.0,0.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,,,10.918736457824707,5.0,1.0,1.0,1.0,2017.0,0.6183629631996155
1289.0,4,7,135,,,,,3.0,1.0,12.0,1.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,,,10.491301536560059,3.0,,,0.0,2017.0,0.5392792820930481
1290.0,4,7,19,,,,,2.0,0.0,15.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,,,10.896758079528809,5.0,,,1.0,2017.0,0.6183629631996155
1291.0,4,7,16,,,,,4.0,1.0,0.0,1.0,0.0,1.0,5.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,0.0,,10.308985710144043,5.0,,,0.0,2017.0,0.5392792820930481
1292.0,4,7,21,,,,,5.0,1.0,16.0,2.0,0.0,1.0,5.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,12.100717544555664,5.0,,,1.0,2017.0,1.3520634174346924
1293.0,4,7,14,,,,,1.0,1.0,3.0,2.0,0.0,1.0,4.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,,,10.596659660339355,1.0,,,1.0,2017.0,1.0554941892623901
1294.0,4,7,18,1.0,1.0,1.0,1.0,4.0,0.0,6.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,9.210440635681152,4.0,0.0,0.0,1.0,2017.0,0.4317067265510559
1296.0,4,7,16,,,,,2.0,1.0,6.0,2.0,0.0,1.0,6.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,,,9.210440635681152,1.0,,,0.0,2017.0,1.0554941892623901
1297.0,4,7,16,,,,,2.0,1.0,15.0,2.0,1.0,1.0,7.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,,,11.512935638427734,3.0,,,0.0,2017.0,0.7859489321708679
1298.0,4,7,16,,,,,2.0,1.0,9.0,2.0,0.0,1.0,5.0,3.0,3.0,4.0,1.0,0.0,1.0,4.0,,,8.16080379486084,1.0,,,1.0,2017.0,0.4221976697444916
1299.0,4,7,19,0.20000000298023224,0.0,0.0,0.0,1.0,0.0,9.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,10.819798469543457,2.0,1.0,1.0,1.0,2017.0,0.3827948272228241
